Wage (€),Value (€),Name,Age,Nationality,Overall,Potential,Club,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
565000,95500000,Cristiano Ronaldo,32,Portugal,94,94,Real Madrid CF,2228,89.0,63.0,89.0,63.0,93.0,95.0,85.0,81.0,91.0,94.0,76.0,7.0,11.0,15.0,14.0,11.0,88.0,29.0,95.0,77.0,92.0,22.0,85.0,95.0,96.0,83.0,94.0,23.0,91.0,92.0,31.0,80.0,85.0,88.0,89.0,53.0,62.0,91.0,82.0,20801,89.0,61.0,53.0,82.0,62.0,91.0,89.0,92.0,91.0,66.0,ST LW,89.0,61.0,53.0,82.0,62.0,91.0,89.0,92.0,91.0,66.0,92.0
565000,105000000,L. Messi,30,Argentina,93,93,FC Barcelona,2154,92.0,48.0,90.0,95.0,95.0,96.0,77.0,89.0,97.0,95.0,90.0,6.0,11.0,15.0,14.0,8.0,71.0,22.0,68.0,87.0,88.0,13.0,74.0,93.0,95.0,88.0,85.0,26.0,87.0,73.0,28.0,59.0,90.0,85.0,92.0,45.0,59.0,92.0,84.0,158023,92.0,57.0,45.0,84.0,59.0,92.0,90.0,88.0,91.0,62.0,RW,92.0,57.0,45.0,84.0,59.0,92.0,90.0,88.0,91.0,62.0,88.0
280000,123000000,Neymar,25,Brazil,92,94,Paris Saint-Germain,2100,94.0,56.0,96.0,82.0,95.0,92.0,75.0,81.0,96.0,89.0,84.0,9.0,9.0,15.0,15.0,11.0,62.0,36.0,61.0,75.0,77.0,21.0,81.0,90.0,88.0,81.0,80.0,33.0,90.0,78.0,24.0,53.0,80.0,83.0,88.0,46.0,59.0,88.0,79.0,190871,88.0,59.0,46.0,79.0,59.0,88.0,87.0,84.0,89.0,64.0,LW,88.0,59.0,46.0,79.0,59.0,88.0,87.0,84.0,89.0,64.0,84.0
510000,97000000,L. Suárez,30,Uruguay,92,92,FC Barcelona,2291,88.0,78.0,86.0,60.0,91.0,83.0,77.0,86.0,86.0,94.0,84.0,27.0,25.0,31.0,33.0,37.0,77.0,41.0,69.0,64.0,86.0,30.0,85.0,92.0,93.0,83.0,87.0,38.0,77.0,89.0,45.0,80.0,84.0,88.0,87.0,58.0,65.0,88.0,80.0,176580,87.0,64.0,58.0,80.0,65.0,88.0,85.0,88.0,87.0,68.0,ST,87.0,64.0,58.0,80.0,65.0,88.0,85.0,88.0,87.0,68.0,88.0
230000,61000000,M. Neuer,31,Germany,92,92,FC Bayern Munich,1493,58.0,29.0,52.0,35.0,48.0,70.0,15.0,14.0,30.0,13.0,11.0,91.0,90.0,95.0,91.0,89.0,25.0,30.0,78.0,59.0,16.0,10.0,47.0,12.0,85.0,55.0,25.0,11.0,61.0,44.0,10.0,83.0,70.0,11.0,,,,,,167495,,,,,,,,,,,GK,,,,,,,,,,,
355000,92000000,R. Lewandowski,28,Poland,91,91,FC Bayern Munich,2143,79.0,80.0,78.0,80.0,89.0,87.0,62.0,77.0,85.0,91.0,84.0,15.0,6.0,12.0,8.0,10.0,85.0,39.0,84.0,65.0,83.0,25.0,81.0,91.0,91.0,83.0,88.0,19.0,83.0,79.0,42.0,84.0,78.0,87.0,84.0,57.0,62.0,87.0,78.0,188545,84.0,58.0,57.0,78.0,62.0,87.0,82.0,88.0,84.0,61.0,ST,84.0,58.0,57.0,78.0,62.0,87.0,82.0,88.0,84.0,61.0,88.0
215000,64500000,De Gea,26,Spain,90,92,Manchester United,1458,57.0,38.0,60.0,43.0,42.0,64.0,17.0,21.0,18.0,13.0,19.0,90.0,85.0,87.0,86.0,90.0,21.0,30.0,67.0,51.0,12.0,13.0,40.0,12.0,88.0,50.0,31.0,13.0,58.0,40.0,21.0,64.0,68.0,13.0,,,,,,193080,,,,,,,,,,,GK,,,,,,,,,,,
295000,90500000,E. Hazard,26,Belgium,90,91,Chelsea,2096,93.0,54.0,93.0,91.0,92.0,87.0,80.0,82.0,93.0,83.0,79.0,11.0,12.0,6.0,8.0,8.0,57.0,41.0,59.0,81.0,82.0,25.0,86.0,85.0,85.0,86.0,79.0,22.0,87.0,79.0,27.0,65.0,86.0,79.0,88.0,47.0,61.0,87.0,81.0,183277,88.0,59.0,47.0,81.0,61.0,87.0,87.0,82.0,88.0,64.0,LW,88.0,59.0,47.0,81.0,61.0,87.0,87.0,82.0,88.0,64.0,82.0
340000,79000000,T. Kroos,27,Germany,90,90,Real Madrid CF,2165,60.0,60.0,71.0,69.0,89.0,85.0,85.0,85.0,79.0,76.0,84.0,10.0,11.0,13.0,7.0,10.0,54.0,85.0,32.0,93.0,90.0,63.0,73.0,79.0,86.0,90.0,87.0,69.0,52.0,77.0,82.0,74.0,88.0,82.0,83.0,72.0,82.0,81.0,87.0,182521,83.0,76.0,72.0,87.0,82.0,81.0,81.0,77.0,80.0,78.0,CDM CM,83.0,76.0,72.0,87.0,82.0,81.0,81.0,77.0,80.0,78.0,77.0
275000,77000000,G. Higuaín,29,Argentina,90,90,Juventus,1961,78.0,50.0,75.0,69.0,85.0,86.0,68.0,74.0,84.0,91.0,62.0,5.0,12.0,7.0,5.0,10.0,86.0,20.0,79.0,59.0,82.0,12.0,70.0,92.0,88.0,75.0,88.0,18.0,80.0,72.0,22.0,85.0,70.0,88.0,81.0,46.0,52.0,84.0,71.0,167664,81.0,51.0,46.0,71.0,52.0,84.0,79.0,87.0,82.0,55.0,ST,81.0,51.0,46.0,71.0,52.0,84.0,79.0,87.0,82.0,55.0,87.0
310000,52000000,Sergio Ramos,31,Spain,90,90,Real Madrid CF,2153,75.0,84.0,79.0,60.0,84.0,80.0,66.0,73.0,61.0,60.0,67.0,11.0,8.0,9.0,7.0,11.0,91.0,88.0,93.0,72.0,55.0,86.0,68.0,52.0,85.0,78.0,79.0,91.0,77.0,84.0,89.0,81.0,63.0,66.0,70.0,87.0,83.0,70.0,74.0,155862,70.0,84.0,87.0,74.0,83.0,70.0,71.0,72.0,69.0,81.0,CB,70.0,84.0,87.0,74.0,83.0,70.0,71.0,72.0,69.0,81.0,72.0
370000,69500000,G. Bale,27,Wales,89,89,Real Madrid CF,2263,93.0,65.0,77.0,65.0,87.0,85.0,87.0,86.0,89.0,87.0,85.0,15.0,15.0,11.0,5.0,6.0,86.0,59.0,85.0,80.0,90.0,51.0,76.0,86.0,87.0,86.0,91.0,52.0,95.0,76.0,55.0,80.0,79.0,76.0,86.0,67.0,71.0,87.0,81.0,173731,86.0,72.0,67.0,81.0,71.0,87.0,87.0,87.0,87.0,74.0,RW,86.0,72.0,67.0,81.0,71.0,87.0,87.0,87.0,87.0,74.0,87.0
110000,4500000,G. Buffon,39,Italy,89,89,Juventus,1335,49.0,38.0,55.0,49.0,28.0,70.0,13.0,20.0,26.0,15.0,13.0,89.0,88.0,74.0,90.0,84.0,13.0,28.0,75.0,35.0,13.0,10.0,22.0,12.0,80.0,37.0,39.0,11.0,43.0,39.0,11.0,69.0,50.0,17.0,,,,,,1179,,,,,,,,,,,GK,,,,,,,,,,,
225000,38000000,G. Chiellini,32,Italy,89,89,Juventus,1867,68.0,92.0,59.0,64.0,57.0,82.0,58.0,60.0,58.0,33.0,31.0,3.0,3.0,2.0,4.0,3.0,84.0,88.0,89.0,59.0,49.0,92.0,50.0,28.0,82.0,59.0,78.0,90.0,78.0,68.0,92.0,91.0,50.0,45.0,55.0,86.0,76.0,55.0,60.0,138956,55.0,78.0,86.0,60.0,76.0,55.0,58.0,59.0,56.0,75.0,CB,55.0,78.0,86.0,60.0,76.0,55.0,58.0,59.0,56.0,75.0,59.0
325000,66500000,S. Agüero,29,Argentina,89,89,Manchester City,2074,90.0,63.0,86.0,91.0,89.0,90.0,70.0,82.0,89.0,90.0,72.0,13.0,15.0,6.0,11.0,14.0,68.0,24.0,80.0,63.0,83.0,13.0,83.0,91.0,89.0,79.0,88.0,12.0,84.0,74.0,20.0,74.0,83.0,85.0,85.0,44.0,54.0,87.0,75.0,153079,85.0,52.0,44.0,75.0,54.0,87.0,84.0,86.0,86.0,57.0,ST,85.0,52.0,44.0,75.0,54.0,87.0,84.0,86.0,86.0,57.0,86.0
190000,59000000,T. Courtois,25,Belgium,89,92,Chelsea,1282,46.0,23.0,61.0,45.0,23.0,52.0,14.0,19.0,13.0,14.0,11.0,85.0,91.0,69.0,86.0,88.0,13.0,15.0,68.0,31.0,17.0,11.0,27.0,13.0,81.0,32.0,36.0,16.0,52.0,38.0,18.0,70.0,44.0,12.0,,,,,,192119,,,,,,,,,,,GK,,,,,,,,,,,
340000,57000000,L. Modrić,31,Croatia,89,89,Real Madrid CF,2228,75.0,62.0,93.0,94.0,92.0,84.0,78.0,79.0,86.0,71.0,77.0,13.0,9.0,7.0,14.0,9.0,55.0,76.0,67.0,83.0,82.0,66.0,80.0,79.0,88.0,92.0,73.0,73.0,71.0,82.0,80.0,58.0,90.0,74.0,86.0,72.0,80.0,83.0,86.0,177003,86.0,78.0,72.0,86.0,80.0,83.0,84.0,76.0,83.0,80.0,CDM CM,86.0,78.0,72.0,86.0,80.0,83.0,84.0,76.0,83.0,80.0,76.0
265000,67500000,A. Sánchez,28,Chile,89,89,Arsenal,2181,88.0,80.0,90.0,87.0,87.0,86.0,80.0,78.0,90.0,85.0,78.0,10.0,10.0,15.0,12.0,13.0,70.0,42.0,85.0,73.0,82.0,30.0,77.0,86.0,87.0,81.0,84.0,35.0,84.0,85.0,39.0,72.0,83.0,83.0,85.0,56.0,64.0,85.0,79.0,184941,85.0,62.0,56.0,79.0,64.0,85.0,85.0,83.0,86.0,66.0,RM LW ST LM,85.0,62.0,56.0,79.0,64.0,85.0,85.0,83.0,86.0,66.0,83.0
